id,budget,company,country,director,genre,domestic_revenue_usd,name,rating,released,runtime,score,star,votes,writer,year,rank,total_revenue_usd,international_revenue_usd
2779,10000000,Tapestry Films,USA,Jim Abrahams,Comedy,19882538,Mafia!,PG-13,7/24/1998,87,5.5,Jay Mohr,13168,Jim Abrahams,1998,5105,19889299,6761
5855,0,Summit Entertainment,USA,Heitor Dhalia,Drama,11653123,Gone,PG-13,2/24/2012,100,5.9,Amanda Seyfried,36704,Allison Burnett,2012,5128,19767535,8114412
5118,26000000,Lionsgate,USA,Jim Sheridan,Drama,28501651,Brothers,R,12/4/2009,105,7.1,Jake Gyllenhaal,94974,David Benioff,2009,5144,19695610,-8806041
6520,70000000,Forward Pass,USA,Michael Mann,Crime,7097125,Blackhat,R,1/16/2015,133,5.4,Chris Hemsworth,44249,Morgan Davis Foehl,2015,5149,19652057,12554932
5251,40000000,Fox Searchlight Pictures,USA,Mira Nair,Adventure,14241034,Amelia,PG,10/23/2009,111,5.8,Hilary Swank,10609,Ronald Bass,2009,5151,19643086,5402052
3620,0,New Line Cinema,USA,Andrew Niccol,Comedy,9680913,S1m0ne,PG-13,8/23/2002,117,6.1,Al Pacino,54019,Andrew Niccol,2002,5164,19576023,9895110
3578,31000000,Beijing New Picture Film Co.,China,Yimou Zhang,Action,53710019,Hero,PG-13,8/27/2004,107,7.9,Jet Li,157335,Feng Li,2002,5171,19507345,-34202674
1416,42000000,Columbia Pictures Corporation,USA,Stephen Frears,Comedy,19507345,Hero,PG-13,10/2/1992,119,6.5,Dustin Hoffman,18627,Laura Ziskin,1992,5171,19507345,0
4076,12000000,Jet Tone Films,Hong Kong,Kar-Wai Wong,Drama,261481,2046,R,9/29/2004,129,7.5,Tony Chiu-Wai Leung,44039,Kar-Wai Wong,2004,5179,19470239,19208758
3893,40000000,Miramax,Germany,Danny DeVito,Comedy,9692135,Duplex,PG-13,9/26/2003,89,5.9,Ben Stiller,48829,Larry Doyle,2003,5196,19322135,9630000
6117,4000000,Worldview Entertainment,USA,David Gordon Green,Drama,373375,Joe,R,4/11/2014,117,6.9,Nicolas Cage,39431,Gary Hawkins,2013,5198,19319254,18945879
3412,5000000,Chickie the Cop,USA,Tim Blake Nelson,Drama,16017403,O,R,8/31/2001,95,6.2,Mekhi Phifer,17805,William Shakespeare,2001,5210,19260537,3243134
6246,24000000,Annapurna Pictures,USA,Bennett Miller,Biography,12096300,Foxcatcher,R,1/16/2015,134,7,Steve Carell,117034,E. Max Frye,2014,5220,19206513,7110213
5130,5000000,CJ Entertainment,South Korea,Joon-ho Bong,Action,547292,Mother,R,5/28/2009,129,7.8,Hye-ja Kim,31822,Joon-ho Bong,2009,5230,19145198,18597906
2327,0,Paramount Pictures,USA,Albert Brooks,Comedy,19119165,Mother,PG-13,1/24/1997,104,6.9,Albert Brooks,4936,Albert Brooks,1996,5230,19145198,26033
781,0,Touchstone Pictures,USA,Ron Shelton,Biography,19131246,Blaze,R,12/13/1989,120,5.9,Paul Newman,3129,Blaze Starr,1989,5232,19131246,0
5532,6500000,See-Saw Films,UK,Steve McQueen,Drama,4000304,Shame,NC-17,3/16/2012,101,7.2,Michael Fassbender,158515,Steve McQueen,2011,5235,19123767,15123463
1625,0,Baltimore Pictures,USA,Luis Llosa,Action,18994653,Sniper,R,1/29/1993,98,6.1,Tom Berenger,20355,Michael Frost Beckner,1993,5249,18994653,0
5589,0,Yellow Bird,Norway,Morten Tyldum,Crime,1196752,Headhunters,R,8/26/2011,96,7.6,Aksel Hennie,85380,Ulf Ryberg,2011,5253,18962444,17765692
2300,20000000,Interscope Communications,USA,Paul Michael Glaser,Comedy,18876581,Kazaam,PG,7/17/1996,93,2.8,Shaquille O'Neal,20357,Paul Michael Glaser,1996,5255,18937262,60681
3688,42000000,MDP Worldwide,UK,William Malone,Crime,13208023,Feardotcom,R,8/30/2002,101,3.3,Stephen Dorff,17833,Moshe Diamant,2002,5261,18902015,5693992
320,0,TriStar Pictures,USA,Peter Yates,Crime,18782400,Suspect,R,10/23/1987,121,6.6,Cher,7506,Eric Roth,1987,5280,18782400,0
4238,3000000,Eden Rock Media,USA,Rob McKittrick,Comedy,16124543,Waiting...,R,10/7/2005,94,6.8,Ryan Reynolds,79505,Rob McKittrick,2005,5304,18637690,2513147
1285,0,Grand Highway Productions,USA,Mary Agnes Donoghue,Drama,18634643,Paradise,PG-13,10/4/1991,111,6.7,Melanie Griffith,2375,Mary Agnes Donoghue,1991,5309,18634643,0
3735,3500000,Arenas Entertainment,USA,Franc. Reyes,Crime,17504595,Empire,R,12/6/2002,90,6,John Leguizamo,6725,Franc. Reyes,2002,5324,18591272,1086677
794,0,Cineplex-Odeon Films,USA,John D. Hancock,Drama,18587135,Prancer,G,11/17/1989,103,6.3,Sam Elliott,3478,Greg Taylor,1989,5325,18587135,0
1360,0,Warner Bros.,USA,Cameron Crowe,Comedy,18472850,Singles,PG-13,9/18/1992,99,6.7,Bridget Fonda,24175,Cameron Crowe,1992,5346,18471850,-1000
3184,20000000,Branti Film Productions,USA,Amy Heckerling,Comedy,15618626,Loser,PG-13,7/21/2000,98,5.3,Jason Biggs,23989,Amy Heckerling,2000,5353,18404706,2786080
1704,10000000,PolyGram Filmed Entertainment,UK,Mario Van Peebles,Western,18290000,Posse,R,5/14/1993,111,5.5,Mario Van Peebles,3422,Sy Richardson,1993,5371,18289763,-237
3448,30000000,Metro-Goldwyn-Mayer (MGM),USA,Peter Howitt,Action,10965209,Antitrust,PG-13,1/12/2001,105,6.1,Ryan Phillippe,26399,Howard Franklin,2001,5382,18195610,7230401
3141,13500000,Fox Searchlight Pictures,UK,Philip Kaufman,Biography,7060876,Quills,R,12/25/2000,124,7.3,Geoffrey Rush,46715,Doug Wright,2000,5410,17989227,10928351
6486,7000000,Forest Whitaker's Significant Productions,USA,Rick Famuyiwa,Comedy,17474107,Dope,R,6/19/2015,103,7.3,Shameik Moore,69552,Rick Famuyiwa,2015,5412,17986781,512674
5180,35000000,Warner Bros.,USA,Dominic Sena,Action,10275638,Whiteout,R,9/11/2009,101,5.5,Kate Beckinsale,33530,Jon Hoeber,2009,5414,17976667,7701029
4556,60000000,Electric Entertainment,UK,Tony Bill,Action,13082288,Flyboys,PG-13,9/22/2006,140,6.6,James Franco,37329,Phil Sears,2006,5436,17858059,4775771
4965,25000000,Rifkin-Eberts,USA,Marcel Langenegger,Crime,4597760,Deception,R,4/25/2008,107,6.1,Hugh Jackman,34378,Mark Bomback,2008,5447,17772506,13174746
2354,18000000,Dino De Laurentiis Company,USA,John Dahl,Drama,2780278,Unforgettable,R,2/23/1996,117,6,Ray Liotta,4227,Bill Geddie,1996,5450,17768012,14987734
6475,0,Mod Producciones,Spain,Alejandro Amenábar,Crime,54734,Regression,R,10/2/2015,106,5.7,Ethan Hawke,28090,Alejandro Amenábar,2015,5469,17671101,17616367
492,20000000,Warner Bros.,USA,Roman Polanski,Crime,17637950,Frantic,R,2/26/1988,120,6.9,Harrison Ford,41608,Roman Polanski,1988,5475,17637950,0
6328,5000000,Codeblack Entertainment,USA,Bille Woodruff,Drama,17382982,Addicted,R,10/10/2014,106,5.2,Sharon Leal,6772,Christina Welsh,2014,5497,17534314,151332
4604,26000000,Touchstone Pictures,USA,Justin Lin,Drama,17127992,Annapolis,PG-13,1/27/2006,108,5.8,James Franco,18618,David Collard,2006,5503,17496992,369000
4344,33100000,Twentieth Century Fox Film Corporation,USA,Steve Carr,Comedy,16808336,Rebound,PG,7/1/2005,86,5.1,Martin Lawrence,11109,William Wolff,2005,5505,17492014,683678
4525,13000000,Victoires International,France,Olivier Assayas,Comedy,4857376,"Paris, je t''aime",R,6/15/2007,120,7.3,Juliette Binoche,65342,Tristan Carné,2006,5509,17471727,12614351
3717,0,Melampo Cinematografica,Italy,Roberto Benigni,Comedy,3684305,Pinocchio,G,12/25/2002,108,4.2,Roberto Benigni,6772,Roberto Benigni,2002,5515,17427210,13742905
3365,11000000,David Kirschner Productions,USA,Bill Paxton,Crime,13103828,Frailty,R,4/12/2002,100,7.3,Bill Paxton,65717,Brent Hanley,2001,5516,17423030,4319202
5829,35000000,Millennium Films,USA,Simon West,Action,304318,Stolen,R,4/5/2013,96,5.5,Nicolas Cage,39133,David Guggenheim,2012,5518,17415418,17111100
2668,9000000,American Empirical Pictures,USA,Wes Anderson,Comedy,17105219,Rushmore,R,2/19/1999,93,7.7,Jason Schwartzman,144975,Wes Anderson,1998,5557,17195500,90281
2365,25000000,Metro-Goldwyn-Mayer (MGM),USA,Kevin Hooks,Action,17100000,Fled,R,7/19/1996,98,5.3,Laurence Fishburne,7433,Preston A. Whitmore II,1996,5558,17193231,93231
1404,0,Gallery Films,USA,Aaron Norris,Action,17180393,Sidekicks,PG,4/30/1993,101,4.9,Chuck Norris,6775,Lou Illar,1992,5560,17180393,0
5154,0,Miramax,USA,Greg Mottola,Comedy,16025394,Adventureland,R,4/3/2009,100,6.8,Jesse Eisenberg,139072,Greg Mottola,2009,5563,17164820,1139426
5130,5000000,CJ Entertainment,South Korea,Joon-ho Bong,Action,547292,Mother,R,5/28/2009,129,7.8,Hye-ja Kim,31822,Joon-ho Bong,2009,5567,17149348,16602056
2327,0,Paramount Pictures,USA,Albert Brooks,Comedy,19119165,Mother,PG-13,1/24/1997,104,6.9,Albert Brooks,4936,Albert Brooks,1996,5567,17149348,-1969817
1442,30000000,Morgan Creek Productions,USA,Geoff Murphy,Action,17129000,Freejack,R,1/17/1992,110,5.3,Emilio Estevez,12883,Robert Sheckley,1992,5571,17129026,26
2341,0,ABC Productions,USA,Jeremiah S. Chechik,Drama,17000000,Diabolique,R,3/22/1996,107,5.3,Sharon Stone,11679,Pierre Boileau,1996,5575,17100266,100266
6104,35000000,Relativity Media,USA,Robert Luketic,Drama,7376027,Paranoia,PG-13,8/16/2013,106,5.7,Liam Hemsworth,30891,Jason Hall,2013,5581,17056265,9680238
4069,11000000,Fox Searchlight Pictures,USA,Bill Condon,Biography,10214647,Kinsey,R,1/7/2005,118,7.1,Liam Neeson,44032,Bill Condon,2004,5582,17050017,6835370
6318,0,Fox Searchlight Pictures,Ireland,John Michael McDonagh,Drama,3593460,Calvary,R,4/11/2014,102,7.4,Brendan Gleeson,47249,John Michael McDonagh,2014,5613,16887741,13294281
1873,0,Paramount Pictures,USA,George Miller,Adventure,16819465,Andre,PG,8/17/1994,100,5.7,Tina Majorino,5543,Harry Goodridge,1994,5633,16820893,1428
4539,28000000,Focus Features,USA,Allen Coulter,Biography,14415222,Hollywoodland,R,9/8/2006,126,6.5,Adrien Brody,30288,Paul Bernbaum,2006,5636,16800438,2385216
2716,13000000,Dollface,USA,Mark Christopher,Drama,16574731,54,R,8/28/1998,93,5.8,Ryan Phillippe,28791,Mark Christopher,1998,5647,16757163,182432
1699,11000000,New Line Cinema,USA,Michael Apted,Crime,16696219,Blink,R,1/26/1994,106,6.2,Madeleine Stowe,6770,Dana Stevens,1993,5655,16696219,0
3772,0,Zentropa Entertainments,Netherlands,Lars von Trier,Crime,1530386,Dogville,R,4/23/2004,178,8,Nicole Kidman,115599,Lars von Trier,2003,5657,16689283,15158897
894,11000000,Universal Pictures,USA,Ron Underwood,Comedy,16667084,Tremors,PG-13,1/19/1990,96,7.1,Kevin Bacon,98220,S.S. Wilson,1990,5660,16667084,0
6075,10900000,DJ Films,UK,Amma Asante,Biography,10726630,Belle,PG,6/13/2014,100,7.4,Gugu Mbatha-Raw,23053,Misan Sagay,2013,5676,16607575,5880945
2202,3500000,Channel Four Films,UK,Danny Boyle,Drama,16501785,Trainspotting,R,8/9/1996,94,8.2,Ewan McGregor,530849,John Hodge,1996,5678,16593356,91571
741,5000000,Alive Films,USA,Wes Craven,Comedy,16554699,Shocker,R,10/27/1989,109,5.4,Michael Murphy,12181,Wes Craven,1989,5690,16554699,0
3679,17000000,Dimension Films,USA,Robert Harmon,Horror,12840842,They,PG-13,11/27/2002,89,4.8,Laura Regan,11322,Brendan Hood,2002,5711,16446271,3605429
374,0,Nelvana,Canada,Hugh Wilson,Comedy,16337355,Burglar,R,3/20/1987,103,5,Whoopi Goldberg,3453,Lawrence Block,1987,5735,16337355,0
6463,15000000,See-Saw Films,UK,Justin Kurzel,Drama,1108247,Macbeth,R,12/11/2015,113,6.7,Michael Fassbender,43481,Todd Louiso,2015,5738,16322067,15213820
1418,900000,Golden Harvest Company,Hong Kong,Stanley Tong,Action,16270600,Supercop,R,7/26/1996,95,6.9,Jackie Chan,16056,Edward Tang,1992,5748,16270600,0
4282,0,Les Films du Losange,France,Michael Haneke,Drama,3634407,Caché,R,2/17/2006,117,7.3,Daniel Auteuil,58915,Michael Haneke,2005,5755,16197824,12563417
3443,5500000,British Broadcasting Corporation (BBC),UK,Richard Eyre,Biography,1292119,Iris,R,3/29/2002,91,7.1,Judi Dench,15426,John Bayley,2001,5766,16153953,14861834
547,0,Metro-Goldwyn-Mayer (MGM),USA,Bob Swaim,Drama,15855828,Masquerade,R,3/11/1988,100,6,Rob Lowe,2628,Dick Wolf,1988,5823,15855828,0
1011,0,TriStar Pictures,USA,Barry Levinson,Drama,15740796,Avalon,PG,10/19/1990,128,7.3,Aidan Quinn,5052,Barry Levinson,1990,5839,15779578,38782
2513,5000000,Image Organization,USA,Robert Kurtzman,Fantasy,15719109,Wishmaster,R,9/19/1997,90,5.7,Tammy Lauren,16368,Peter Atkins,1997,5847,15738769,19660
3420,0,Manhattan Pictures International,UK,Michael Apted,Drama,4298329,Enigma,R,6/7/2002,119,6.4,Dougray Scott,18387,Robert Harris,2001,5854,15713204,11414875
6307,0,Non-Stop Productions,Russia,Andrey Zvyagintsev,Drama,1092800,Leviathan,R,2/5/2015,140,7.6,Aleksey Serebryakov,36668,Oleg Negin,2014,5857,15704614,14611814
682,25000000,Filmauro,USA,George P. Cosmatos,Adventure,15704614,Leviathan,R,3/17/1989,98,5.8,Peter Weller,14315,David Webb Peoples,1989,5857,15704614,0
