gross,name
717376,And God Created Woman
1192322,High Hopes
4764606,The Good Mother
4594452,Sunset
191051,For Queen & Country
113275,Heart of Midnight
187349,Rocket Gibraltar
492519,Jack's Back
343786,Tapeheads
1560700,A Handful of Dust
429028,Track 29
8892589,Salsa
9797098,Bad Dreams
111987,Stars and Bars
344375,It Takes Two
1223326,Patty Hearst
14681192,Arthur 2: On the Rocks
5509417,Heartbreak Hotel
438483,Story of Women
124880,The In Crowd
426965,Last Rites
3074681,Messenger of Death
1348771,Platoon Leader
2011497,The Moderns
9129999,Switching Channels
2317091,Chocolat
315421,Crusoe
688329,"Distant Voices, Still Lives"
462813,A Summer Story
1152786,The Wrong Guys
7242035,Off Limits
3838793,Feds
459824,The House on Carroll Street
159969,Taffin
3076031,Dominick and Eugene
331469,Salome's Last Dance
259019,Illegally Yours
422667,Tiger Warsaw
2432536,Kansas
1221366,Mr. North
6337299,The Unholy
188964,Miles from Home
3527886,Things Change
807947,Bulletproof
3965604,Memories of Me
3790493,Sweet Hearts Dance
419428,Out of the Dark
346297,The Deceivers
136203,Cameron's Closet
1333379,The Navigator: A Medieval Odyssey
169785,Pass the Ammo
95860116,Dead Poets Society
251188924,Batman
57469179,Pet Sematary
197171806,Indiana Jones and the Last Crusade
111543479,The Little Mermaid
63408614,Tango & Cash
30050028,Road House
71320000,National Lampoon's Christmas Vacation
40485039,Bill & Ted's Excellent Adventure
64431625,Field of Dreams
118500000,Back to the Future Part II
54461047,The Abyss
66758538,Uncle Buck
27545445,Do the Right Thing
30218387,Weekend at Bernie's
26830000,Glory
92823600,When Harry Met Sally...
83759091,Steel Magnolias
112494738,Ghostbusters II
20781385,Say Anything...
140088813,Look Who's Talking
15704614,Leviathan
130724172,"Honey, I Shrunk the Kids"
49797148,Major League
70001698,Born on the Fourth of July
38956288,The Karate Kid Part III
36602000,The 'Burbs
100047830,Parenthood
147253986,Lethal Weapon 2
34667015,Licence to Kill
11060485,Wild Orchid
14743391,My Left Foot
793775,Little Monsters
43858790,Always
24741700,"Sex, Lies, and Videotape"
31906454,Lean on Me
7724701,"The Cook, the Thief, His Wife & Her Lover"
52210049,Star Trek V: The Final Frontier
106593296,Driving Miss Daisy
2777280,Gleaming the Cube
18671317,Casualties of War
27843,Teen Witch
46908987,"See No Evil, Hear No Evil"
14697005,Kickboxer
22168359,A Nightmare on Elm Street 5: The Dream Child
11642254,Halloween 5
71079915,Turner & Hooch
7825009,Terror a bordo
14343976,Friday the 13th Part VIII: Jason Takes Manhattan
60864870,Harlem Nights
46212055,Black Rain
27100027,All Dogs Go to Heaven
10166459,Cyborg
35150960,Fletch Lives
14278900,The Wizard
86888546,The War of the Roses
10161099,Henry V
8508843,Troop Beverly Hills
58571513,Sea of Love
1700000,Best of the Best
20021322,The Fly II
8220000,Blue Steel
3960327,Loverboy
1132112,Valmont relaciones peligrosas
4729352,Drugstore Cowboy
4087361,Tie Me Up! Tie Me Down!
5552441,Dream a Little Dream
9094451,Warlock
1368210,Little Nemo: Adventures in Slumberland
536508,Eddie and the Cruisers II: Eddie Lives!
22099847,Lock Up
76325,After Midnight
5777099,Millennium
6157157,UHF
16823529,The Fabulous Baker Boys
6957975,Shag
18254702,Crimes and Misdemeanors
367879,Mystery Train
13741060,Great Balls of Fire!
8143225,DeepStar Six
16554699,Shocker
40590000,Three Fugitives
6353913,Shirley Valentine
2692037,Blind Fury
15942628,Next of Kin
10763469,New York Stories
1272977,Robot Jox
28890240,The Dream Team
15351421,She-Devil
192816,The Return of Swamp Thing
12195695,Family Business
10555348,We're No Angels
16278590,Chances Are
7237794,Johnny Handsome
43247647,K-9
8800000,Scandal
3953745,The Phantom of the Opera
3563162,Fat Man and Little Boy
20047604,An Innocent Man
12143484,Pink Cadillac
12065892,She's Out of Control
10982364,Who's Harry Crumb?
16093651,No Holds Barred
19674852,Skin Deep
1738897,The Horror Show
4557214,The Mighty Quinn
11567217,Police Academy 6: City Under Siege
19738015,Dad
1730005,Last Exit to Brooklyn
882290,The Blood of Heroes
3766879,A Dry White Season
22030000,Cousins
1919653,Communion
