,budget,company,director,genre,domestic_revenue_usd,name_domestic,rating,released,runtime,score,star,votes,writer
2807,0,Columbia Pictures Corporation,Brian Gibson,Comedy,477903,Still crazy,R,1/22/99,95,7.1,Stephen Rea,6735,Dick Clement
2808,0,BBC Films,John Maybury,Biography,343023,Love is the devil: study for a portrait of francis bacon,UNRATED,10/7/98,87,6.4,Derek Jacobi,2881,John Maybury
2809,0,Lakeshore International,Stephen Gyllenhaal,Comedy,215553,Homegrown,R,4/17/98,102,5.8,Billy Bob Thornton,4164,Jonah Raskin
2810,0,Castle Rock Entertainment,Volker Schlˆndorff,Crime,5840581,El secreto,R,2/20/98,114,6.0,Woody Harrelson,6906,James Hadley Chase
2811,60000000,Caravan Pictures,Stephen Herek,Comedy,12065985,Holy man,PG,10/9/98,114,4.9,Eddie Murphy,17120,Tom Schulman
2812,0,Paradis Films,Theodoros Angelopoulos,Drama,106486,Eternity and a day,UNRATED,5/28/99,137,7.9,Bruno Ganz,7269,Theodoros Angelopoulos
2813,5000000,Castle Rock Entertainment,Jake Kasdan,Comedy,1980338,Zero effect,R,1/30/98,116,7.0,Bill Pullman,12839,Jake Kasdan
2814,0,Irish Film Board,John Boorman,Biography,1211865,The general,R,12/18/98,124,7.3,Brendan Gleeson,7076,John Boorman
2815,0,101st Street Films,Alex Zamm,Comedy,306715,Chairman of the board,PG-13,9/18/98,100,2.3,Scott 'Carrot Top' Thompson,5356,Al Septien
2816,19000000,Twentieth Century Fox Film Corporation,Dean Semler,Thriller,8041665,Firestorm,R,1/9/98,89,4.6,Howie Long,3270,Chris Soth
2817,0,Canal+,Julio Medem,Drama,504223,Lovers of the arctic circle,R,2/4/00,112,7.8,Najwa Nimri,16017,Julio Medem
2818,0,Castle Rock Entertainment,Michael Lehmann,Comedy,7985929,My giant,PG,4/10/98,103,4.9,Billy Crystal,5996,Billy Crystal
2819,7000000,Arts Council of England,Anand Tucker,Biography,4874838,Hilary and jackie,R,2/5/99,121,7.4,Emily Watson,8950,Hilary du PrÈ
2820,0,Edward R. Pressman Film,Abel Ferrara,Drama,20416,New rose hotel,R,3/19/99,93,4.9,Christopher Walken,3666,William Gibson
2821,0,Australian Film Finance Corporation (AFFC),Ana Kokkinos,Drama,378667,Head on,NOT RATED,6/11/99,104,6.4,Alex Dimitriades,3473,Andrew Bovell
2822,30000000,Walt Disney Pictures,Arlene Sanford,Comedy,12213678,I'll be home for christmas,PG,11/13/98,86,5.4,Jonathan Taylor Thomas,7267,Tom Nursall
2823,6000000,HK Film Corporation,Tony Cinciripini,Drama,9122,Hell's kitchen,R,1/19/01,95,4.9,Rosanna Arquette,2209,Tony Cinciripini
2824,0,Largo Entertainment,Doug Ellin,Comedy,4002640,Kissing a fool,R,2/27/98,100,5.6,David Schwimmer,4457,James Frey
2825,0,Arte,Mike Hodges,Crime,6198916,La jugada,UNRATED,7/28/00,94,7.2,Clive Owen,16569,Paul Mayersberg
2826,0,Polygram Filmed Entertainment,Michael Winterbottom,Crime,1242,I want you,R,10/30/98,87,6.3,Rachel Weisz,2483,Eoin McNamee
2827,700000,Blue Streak Films,David Moreton,Comedy,870751,Edge of seventeen,NOT RATED,4/20/00,99,6.8,Chris Stafford,4954,Todd Stephens
2828,0,Keystone Pictures,Richard Martin,Comedy,10215386,Air bud: golden receiver,G,8/14/98,90,4.5,Kevin Zegers,4556,Kevin DiCicco
2829,0,JD Productions,David Veloz,Biography,1166199,Permanent midnight,R,4/23/99,88,6.3,Ben Stiller,6246,Jerry Stahl
2830,0,Rhino Films,Gregory Nava,Biography,12413650,Why do fools fall in love,R,8/28/98,116,6.3,Halle Berry,3123,Tina Andrews
2831,5000000,Polygram Filmed Entertainment,Neil LaBute,Comedy,4710749,Your friends & neighbors,R,8/21/98,100,6.4,Amy Brenneman,7208,Neil LaBute
2832,8000000,Fade In Films,David Dobkin,Comedy,1789892,Clay pigeons,R,9/25/98,104,6.6,Joaquin Phoenix,9721,Matthew L. Healy
2833,0,First Cold Piece,Stanley Tucci,Comedy,2197921,The impostors,R,10/2/98,101,6.5,Oliver Platt,4553,Stanley Tucci
2834,0,Interscope Communications,Lesli Linka Glatter,Drama,121875,The proposition,R,3/27/98,110,6.3,Kenneth Branagh,1883,Rick Ramage
