rank,name,year,total
560,The firm,1993,270248367
561,We're the millers,2012,269994119
562,Gran torino,2008,269958228
563,"10,000 bc",2008,269784201
564,American gangster,2007,269755430
565,Epic,2013,268426634
566,Exodus: gods and kings,2014,268175631
567,Bambi,1942,267447150
568,The princess and the frog,2009,267045765
569,Batman returns,1992,266903053
570,Indecent proposal,1993,266614059
571,Something's gotta give,2003,265328738
572,Bridget jones: the edge of reason,2004,265126918
573,The incredible hulk,2008,264770996
574,Waterworld,1995,264218220
575,The truman show,1998,264118201
576,Charlie's angels,2000,264105545
577,The fifth element,1997,264029966
578,Jumanji,1995,262821940
579,Borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,262552893
580,Robots,2005,262511490
581,Knight and day,2008,261989769
582,Total recall,1990,261317921
583,This is it,2009,261183588
584,Terminator: dark fate,2019,261119292
585,The lone ranger,2013,260502115
586,Super 8,2011,260095986
587,Mojin: the lost legend,2015,259368448
588,Blade runner 2049,2017,259239658
589,Charlie's angels: full throttle,2003,259175788
590,Rush hour 3,2007,258097122
591,The full monty,1997,257938649
592,Kung fu yoga,2017,257743016
593,Parasite,2019,257114117
594,Annabelle,2014,257047661
595,The village,2003,256697520
596,Lost in hong kong,2015,256283912
597,Erin brockovich,2000,256271286
598,Pegasus,2019,255863112
599,Marley & me,2008,255743093
600,Halloween,2018,255485178
601,Us,2019,255184580
602,Cliffhanger,1993,255000211
603,Baahubali 2: the conclusion,2017,254158390
604,Babe,1995,254134910
605,Men in black: international,2019,253890701
606,Wild hogs,2007,253625427
607,High school musical 3,2008,252909177
608,Hercules,1997,252712101
609,X-men: dark phoenix,2019,252442974
610,True grit,2010,252276927
611,Bean,1997,251212670
612,American hustle,2013,251171807
613,Enemy of the state,1998,250849789
614,You've got mail,1998,250821495
615,Eragon,2006,250425512
616,Brother bear,2003,250397798
617,The mask of zorro,1998,250288523
618,The ring,2002,249348933
619,Back to the future part iii,1985,249127982
620,The blair witch project,1999,248639099
621,Unbreakable,2000,248118121
622,Journey to the west: the demons strike back,2017,247585244
623,Dumb and dumber,1994,247275374
624,Glass,2019,246999039
625,Grown ups 2,2013,246984278
626,The peanuts movie,2015,246233113
627,The godfather,1972,246120974
628,Rango,2011,245724603
629,Four weddings and a funeral,1994,245700832
630,Face/off,1997,245676146
631,Teenage mutant ninja turtles: out of the shadows,2016,245623848
632,Dark shadows,2012,245527149
633,Hulk,2003,245285165
634,The bravest,2019,245179562
635,Welcome to the sticks,2008,245144417
636,Love actually,2003,244931766
637,Pixels,2015,244874809
638,Hercules,2014,244819862
639,Rush hour,1998,244721064
640,Journey to the center of the earth,2008,244232688
641,After earth,2013,243611982
642,A few good men,1992,243240178
643,Cloudy with a chance of meatballs,2009,243006126
644,8 mile,2002,242875078
645,Daddy's home,2015,242786137
646,Robocop,2014,242688965
647,Eraser,1996,242295562
648,Alien: covenant,2017,240891763
649,Sully,2016,240797623
650,Assassin's creed,2016,240697856
651,Click,2006,240685326
652,Die hard 2,1990,240247433
653,Resident evil: retribution,2012,240159255
654,Crocodile dundee ii,1988,239606210
655,Planes,2013,239258712
656,Crazy rich asians,2018,238538736
657,Batman & robin,1997,238235915
658,Gulliver's travels,2010,237382724
659,Gone in 60 seconds,2000,237202299
660,Saturday night fever,1977,237113184
661,Silver linings playbook,2012,236412453
662,2 fast 2 furious,2003,236350661
663,Howl's moving castle,2004,236212992
664,Hidden figures,2016,235956898
665,A.i. artificial intelligence,2001,235926552
666,Dead poets society,1989,235860116
667,Spy,2015,235666219
668,American pie,1999,235483004
669,American reunion,2012,234989584
670,Big daddy,1999,234801895
671,Alvin and the chipmunks: the road chip,2015,234798636
672,The imitation game,2014,233555708
673,The day the earth stood still,2008,233093859
674,American wedding,2003,232722935
675,The girl with the dragon tattoo,2011,232617430
676,Juno,2007,232372681
677,Argo,2012,232325503
678,Mr. bean's holiday,2007,232225908
679,The english patient,1996,231976425
680,Sister act,1992,231605150
681,Annabelle comes home,2019,231252591
682,Constantine,2005,230884728
683,Get smart,2008,230685453
684,Space jam,1996,230418342
685,Life is beautiful,1998,230098753
686,The heat,1996,229930771
687,Ghostbusters,2016,229147509
688,Ghost rider,2007,228738393
689,Sennen no koi - hikaru genji monogatari,2001,228612367
690,Goodbye mr. loser,2015,228122928
691,Paddington 2,2017,227978523
692,Sleepless in seattle,1993,227927165
693,Lethal weapon 2,1989,227853986
694,The green hornet,2011,227817248
695,Out of africa,1985,227542205
696,Youth,2017,227091290
697,Baby driver,2017,226945087
698,Immortals,2011,226904017
699,Taken,2008,226837760
700,Percy jackson & the olympians: the lightning thief,2010,226497209
701,Hansel & gretel: witch hunters,2013,226349749
702,Good will hunting,1997,225933435
703,Valerian and the city of a thousand planets,2017,225874228
704,Better days,2019,225545362
705,Ford v ferrari,2019,225508210
706,Jumper,2008,225132113
707,The social network,2010,224920315
708,Chicken run,2000,224834564
709,Dolittle,2020,224698168
710,Con air,1997,224012234
711,Interview with the vampire: the vampire chronicles,1994,223664608
712,Flightplan,2005,223387299
713,Yes man,2008,223241637
714,Pulp fiction,1994,222831519
715,Non-stop,2014,222809600
716,"Honey, i shrunk the kids",1989,222724172
717,Fahrenheit 9/11,2004,222446882
718,Wild wild west,1999,222104681
719,Elf,2003,221671773
720,Geostorm,2017,221600160
721,Presumed innocent,1990,221303188
722,Collateral,2004,220926695
723,Scary movie 3,2003,220673217
724,Inferno,2016,220021259
725,Knocked up,2007,219922417
726,Green lantern,2011,219851172
727,What happens in vegas,2008,219375562
728,It's complicated,2009,219103655
729,The terminal,2004,219100084
730,Captain phillips,2013,218791811
731,The prince of egypt,1998,218613188
732,Jack reacher,2012,218340595
733,Kingdom of heaven,2005,218122627
734,The emoji movie,2017,217776646
735,Dirty dancing,1987,217744416
736,Dracula untold,2014,217124280
737,Central intelligence,2016,216972543
738,Million dollar baby,2004,216763646
739,The help,2011,216639112
740,Twins,1988,216614388
741,Valentine's day,2010,216485654
742,Bad teacher,2011,216197492
743,One hundred and one dalmatians,1961,216026182
744,Clear and present danger,1994,215887717
745,Ted 2,2015,215863606
746,Bram stoker's dracula,1992,215862692
747,Vertical limit,2000,215663859
748,Ghostbusters ii,1989,215394738
749,The patriot,2000,215294342
750,The sorcerer's apprentice,2010,215283742
751,Just go with it,2011,214945591
752,The expendables 3,2014,214657577
753,The fast and the furious,2001,214463726
754,Creed ii,2018,214215889
755,Public enemies,2009,214104620
756,Smallfoot,2018,214040103
757,The bourne identity,2002,214034224
758,Disclosure,1994,214015089
759,The aviator,2004,213719942
760,"Crouching tiger, hidden dragon",2000,213525736
761,Braveheart,1995,213216216
762,Into the woods,2014,212902372
763,Bedtime stories,2008,212874864
764,Miss congeniality,2000,212742720
765,Entrapment,1999,212404396
766,Ace ventura: when nature calls,1995,212385533
767,End of days,1999,211989043
768,Bridget jones's baby,2016,211952420
769,Battle los angeles,2011,211819354
770,Fury,2014,211817906
771,Australia,2008,211787511
772,Due date,2010,211780824
773,Master and commander: the far side of the world,2003,211622535
774,Lemony snicket's a series of unfortunate events,2004,211468235
775,District 9,2009,210888950
776,The jungle book,1967,210310084
777,Moonraker,1979,210308099
778,The others,2001,209947037
779,Horrible bosses,2011,209838559
780,Us and them,2018,209221380
781,Red dragon,2002,209196298
782,Little women,2019,209101214
783,Tomorrowland,2015,209035668
784,Me before you,2016,208314186
785,Safe house,2012,208076205
786,S.w.a.t.,2003,207725639
787,Traffic,2000,207515725
788,Paranormal activity 3,2011,207039844
789,Philadelphia,1993,206678440
790,Sleepy hollow,1999,206071502
791,The holiday,2006,205841885
792,London has fallen,2016,205754447
793,A dog's purpose,2017,205736628
794,The break-up,2006,205668210
795,Journey to the west,2013,205637183
796,Jfk,1991,205405498
797,White house down,2013,205366737
798,Fun with dick and jane,2005,204681899
799,Eat pray love,2010,204594016
800,You don't mess with the zohan,2008,204313400
801,King arthur,2004,203567857
802,Hairspray,2007,203552922
803,Yogi bear,2010,203509374
804,Everest,2015,203427584
805,Vanilla sky,2001,203388341
806,Arrival,2016,203388186
807,Need for speed,2014,203277636
808,Ponyo,2008,203204882
809,Garfield,2004,203172417
810,The addams family,2019,203044905
811,Patch adams,1998,202292902
812,Teenage mutant ninja turtles,1990,201965915
813,Kindergarten cop,1990,201957688
